genome_id,generation,training_indices
47,4,"9;7;8;5;12;13;6;10;11;4"
48,4,"12;8;5;9;11;7;4;10;6;13"
49,4,"6;9;4;13;8;5;12;7;11;10"
50,4,"6;11;12;8;13;7;5;10;4;9"
51,4,"10;4;12;5;9;8;6;11;13;7"
52,5,"7;12;9;13;5;10;6;11;8;14"
53,5,"9;11;8;13;7;12;14;6;5;10"
54,5,"12;7;14;9;6;13;10;11;8;5"
55,5,"8;13;6;11;9;12;5;14;10;7"
56,5,"5;9;10;7;12;14;13;11;6;8"
57,5,"5;14;9;8;6;13;7;12;11;10"
58,5,"14;5;7;11;13;8;6;12;10;9"
59,5,"12;14;5;11;10;7;13;8;6;9"
60,5,"14;10;11;7;6;8;13;5;9;12"
61,5,"8;6;10;9;13;12;14;7;5;11"
62,6,"14;8;9;15;7;6;13;11;10;12"
63,6,"6;11;14;10;8;7;15;13;12;9"
64,6,"11;9;14;10;7;15;8;13;12;6"
65,6,"11;14;10;7;6;12;8;9;15;13"
66,6,"7;11;14;8;13;15;6;10;9;12"
67,6,"15;12;14;13;10;8;9;11;6;7"
68,6,"7;6;14;13;9;8;15;10;12;11"
69,6,"13;14;8;9;11;6;10;7;12;15"
70,6,"15;7;11;6;14;8;13;10;12;9"
71,6,"7;6;11;13;14;15;9;10;12;8"
72,7,"12;9;14;8;7;15;11;10;13;16"
73,7,"7;8;14;9;12;11;15;10;13;16"
74,7,"13;16;10;11;8;14;7;9;15;12"
75,7,"14;15;8;10;9;13;12;7;16;11"
76,7,"8;11;14;15;10;9;7;12;13;16"
77,7,"11;16;7;9;13;10;8;14;15;12"
78,7,"10;14;8;9;11;15;16;7;12;13"
79,7,"16;13;14;8;12;15;11;9;7;10"
80,7,"10;8;16;14;11;12;9;13;15;7"
81,7,"16;15;8;12;11;9;10;14;7;13"
82,8,"15;9;11;12;13;16;17;14;10;8"
83,8,"15;10;9;8;14;16;17;12;13;11"
84,8,"11;8;10;9;16;12;17;14;13;15"
85,8,"8;11;12;10;14;17;13;16;15;9"
86,8,"11;14;15;12;10;9;13;8;16;17"
87,8,"15;17;12;9;11;16;14;8;10;13"
88,8,"11;12;9;14;13;17;15;10;16;8"
89,8,"12;9;10;17;11;14;13;8;15;16"
90,8,"10;13;8;17;11;9;15;14;16;12"
91,8,"16;14;12;10;8;11;13;15;9;17"
92,9,"14;10;13;11;9;15;18;16;17;12"
93,9,"18;10;12;13;17;11;16;15;9;14"
94,9,"17;12;15;14;18;13;11;16;9;10"
95,9,"17;13;16;15;12;18;14;11;9;10"
96,9,"12;15;16;14;9;18;13;11;17;10"
97,9,"12;14;13;15;9;16;18;11;17;10"
98,9,"18;16;17;12;10;14;9;13;11;15"
99,9,"14;11;10;16;9;12;13;17;15;18"
100,9,"13;10;16;9;15;11;18;12;14;17"
101,9,"12;13;10;17;14;15;16;11;18;9"
102,10,"14;15;19;16;18;13;12;10;11;17"
103,10,"13;16;17;10;12;11;14;18;15;19"
104,10,"11;12;14;13;15;17;16;19;18;10"
105,10,"17;16;13;10;14;12;19;15;11;18"
106,10,"18;19;14;10;12;13;15;16;11;17"
107,10,"17;19;10;12;15;11;18;14;16;13"
108,10,"10;18;17;16;12;13;19;14;15;11"
109,10,"11;15;16;18;14;12;13;19;17;10"
110,10,"15;10;17;14;12;18;11;16;19;13"
111,10,"13;19;10;12;14;15;16;18;11;17"
112,11,"18;12;17;16;20;11;15;19;14;13"
113,11,"11;16;17;12;20;19;14;15;13;18"
114,11,"14;18;20;19;15;16;17;12;13;11"
115,11,"12;17;13;15;19;16;14;20;18;11"
116,11,"18;19;12;13;16;15;17;11;14;20"
117,11,"11;16;12;18;19;13;15;14;20;17"
118,11,"19;11;12;14;15;13;17;16;20;18"
119,11,"14;13;19;20;17;16;18;15;11;12"
120,11,"15;19;16;18;17;20;14;11;12;13"
121,11,"17;12;19;11;15;16;13;14;20;18"
122,12,"14;18;19;17;13;21;16;12;20;15"
123,12,"14;21;17;15;13;19;18;20;12;16"
124,12,"16;12;13;20;18;14;21;19;15;17"
125,12,"18;16;20;21;14;17;13;12;19;15"
126,12,"15;13;19;12;16;18;17;20;21;14"
127,12,"13;16;14;18;17;20;15;19;12;21"
128,12,"19;16;13;12;18;17;21;14;20;15"
129,12,"17;18;15;19;16;12;20;14;21;13"
130,12,"15;18;12;21;20;19;17;16;14;13"
131,12,"21;18;19;17;20;12;13;15;16;14"
132,13,"18;20;15;14;17;19;22;21;13;16"
133,13,"13;21;19;22;18;16;14;17;15;20"
134,13,"14;19;22;20;13;21;18;15;16;17"
135,13,"13;22;21;18;20;19;14;15;17;16"
136,13,"15;18;17;20;16;14;21;19;22;13"
137,13,"15;17;18;22;13;14;21;19;20;16"
138,13,"18;13;17;20;22;14;16;19;21;15"
139,13,"13;14;15;19;16;17;21;18;20;22"
140,13,"19;17;20;22;14;13;16;21;18;15"
141,13,"16;17;18;13;20;15;21;19;22;14"
142,14,"20;21;16;17;19;18;23;14;15;22"
143,14,"14;17;18;15;20;21;19;23;22;16"
144,14,"17;21;18;20;19;23;15;14;22;16"
145,14,"18;22;17;21;16;20;23;19;14;15"
146,14,"21;20;22;18;16;17;14;19;23;15"
147,14,"18;20;17;19;22;23;15;14;16;21"
148,14,"20;21;17;14;23;18;22;15;19;16"
149,14,"15;18;22;20;14;17;19;21;16;23"
150,14,"16;14;22;23;20;19;21;18;15;17"
151,14,"17;22;16;18;23;21;15;20;14;19"
152,15,"23;21;17;18;22;16;15;24;20;19"
153,15,"21;18;16;24;15;17;22;23;20;19"
154,15,"17;16;22;19;21;20;15;18;23;24"
155,15,"23;17;22;21;15;24;18;20;16;19"
156,15,"17;18;20;22;23;19;24;21;15;16"
157,15,"18;15;19;23;21;20;22;16;17;24"
158,15,"23;22;20;16;21;17;18;15;24;19"
159,15,"18;23;20;16;21;17;22;15;19;24"
160,15,"19;20;22;24;15;23;16;21;18;17"
161,15,"19;22;23;21;20;17;16;15;18;24"
162,16,"17;18;21;16;23;25;22;24;19;20"
163,16,"22;17;18;20;24;23;25;19;21;16"
164,16,"21;22;20;16;19;18;24;25;23;17"
165,16,"24;23;17;19;21;18;20;22;25;16"
166,16,"21;19;17;22;18;16;25;24;20;23"
167,16,"18;25;17;24;19;21;23;22;16;20"
168,16,"25;23;18;17;24;19;20;21;16;22"
169,16,"19;25;17;22;23;21;24;16;20;18"
170,16,"25;24;22;17;16;21;19;20;23;18"
171,16,"21;16;22;18;17;25;20;24;19;23"
172,17,"19;24;20;25;21;17;23;22;26;18"
173,17,"22;21;18;26;17;23;25;24;19;20"
174,17,"22;23;24;26;18;21;19;17;25;20"
175,17,"21;18;17;23;20;24;26;25;19;22"
176,17,"18;19;21;23;20;25;24;17;26;22"
177,17,"19;20;24;18;25;17;26;21;23;22"
178,17,"20;17;21;26;24;25;18;22;19;23"
179,17,"19;21;23;18;22;26;17;25;24;20"
180,17,"21;23;25;22;18;26;17;19;24;20"
181,17,"23;17;24;20;26;22;21;25;19;18"
182,18,"21;19;23;20;24;26;18;27;22;25"
183,18,"18;23;24;27;19;21;25;20;26;22"
184,18,"24;26;25;20;23;19;21;22;18;27"
185,18,"18;25;24;19;21;26;20;27;22;23"
186,18,"23;24;22;20;21;25;18;27;26;19"
187,18,"23;24;26;19;25;21;22;20;27;18"
188,18,"18;22;20;27;25;23;24;26;19;21"
189,18,"19;27;26;18;20;25;24;22;21;23"
190,18,"24;20;23;26;25;21;22;19;18;27"
191,18,"22;19;23;18;25;21;27;26;24;20"
192,19,"27;20;23;28;21;24;26;25;22;19"
193,19,"28;24;27;22;19;23;20;26;21;25"
194,19,"25;28;26;22;27;20;19;21;23;24"
195,19,"20;25;27;24;28;23;22;21;19;26"
196,19,"20;26;19;28;27;21;22;25;24;23"
197,19,"28;26;25;22;21;20;24;23;27;19"
198,19,"28;20;27;23;22;21;26;24;19;25"
199,19,"19;27;21;26;28;25;22;20;23;24"
200,19,"28;21;26;24;27;22;25;23;19;20"
201,19,"28;19;27;22;24;26;25;21;23;20"
202,20,"28;26;27;21;23;29;25;22;20;24"
203,20,"28;20;24;23;22;26;25;27;29;21"
204,20,"26;24;23;21;29;20;28;27;22;25"
205,20,"20;21;25;29;22;26;23;27;24;28"
206,20,"23;20;21;25;26;24;22;27;29;28"
207,20,"27;23;26;20;21;24;28;29;22;25"
208,20,"28;21;23;24;22;25;27;29;20;26"
209,20,"25;23;29;22;27;28;24;21;20;26"
210,20,"24;25;29;21;20;27;23;28;26;22"
211,20,"25;21;24;28;26;29;27;20;23;22"
212,21,"23;24;28;25;21;22;27;26;30;29"
213,21,"22;30;28;25;21;24;27;29;26;23"
214,21,"27;30;21;26;24;22;25;29;28;23"
215,21,"27;29;23;26;25;30;24;22;21;28"
216,21,"22;27;21;23;25;26;30;28;24;29"
217,21,"22;28;30;27;29;26;23;24;25;21"
218,21,"22;27;23;21;24;25;28;30;26;29"
219,21,"30;22;24;21;23;27;28;29;26;25"
220,21,"21;29;25;26;24;28;30;27;23;22"
221,21,"30;23;29;21;25;26;28;22;24;27"
222,22,"28;22;29;27;23;26;25;24;31;30"
223,22,"25;26;29;24;23;30;27;22;31;28"
224,22,"31;24;25;29;22;26;30;23;28;27"
225,22,"23;28;22;26;27;30;24;29;25;31"
226,22,"24;31;27;28;22;25;29;30;26;23"
227,22,"24;22;26;31;28;29;30;23;25;27"
228,22,"29;23;22;30;28;27;25;26;24;31"
229,22,"25;22;26;27;28;31;23;24;30;29"
230,22,"26;23;31;30;22;25;29;28;24;27"
231,22,"23;26;30;27;31;22;29;25;28;24"
232,23,"26;29;32;27;23;31;30;25;28;24"
233,23,"28;29;23;25;26;27;31;32;30;24"
234,23,"26;23;25;24;30;27;32;31;28;29"
235,23,"30;28;25;24;27;29;31;23;32;26"
236,23,"32;31;28;29;30;23;27;24;25;26"
237,23,"32;27;23;25;28;30;29;31;26;24"
238,23,"31;29;27;26;23;25;28;30;24;32"
239,23,"23;31;24;29;26;30;27;25;32;28"
240,23,"31;24;32;30;28;27;26;25;23;29"
241,23,"32;23;31;26;24;28;30;25;29;27"
242,24,"24;26;32;30;25;33;29;31;28;27"
243,24,"26;27;25;28;30;31;24;29;32;33"
244,24,"33;28;32;29;27;31;24;30;26;25"
245,24,"25;32;28;26;24;27;29;30;31;33"
246,24,"28;24;31;33;27;26;32;29;30;25"
247,24,"30;26;29;27;33;32;28;31;25;24"
248,24,"27;29;33;30;32;25;31;26;24;28"
249,24,"33;26;30;25;29;24;28;27;32;31"
250,24,"26;27;31;33;32;29;24;25;28;30"
251,24,"25;33;31;27;29;30;32;24;28;26"
252,25,"25;31;30;26;27;28;32;29;33;34"
253,25,"31;33;26;32;29;30;34;27;28;25"
254,25,"31;28;26;27;29;34;32;25;30;33"
255,25,"28;25;32;29;27;26;34;33;31;30"
256,25,"25;33;29;28;27;31;30;32;26;34"
257,25,"31;32;33;27;28;29;30;34;25;26"
258,25,"28;27;34;29;32;33;31;25;30;26"
259,25,"26;25;29;27;34;32;28;30;33;31"
260,25,"31;33;34;32;30;27;25;29;26;28"
261,25,"26;28;27;30;34;25;29;32;33;31"
262,26,"33;35;32;26;27;34;31;28;29;30"
263,26,"31;28;29;27;30;35;33;34;32;26"
264,26,"30;27;32;29;33;35;34;26;28;31"
265,26,"34;27;35;28;29;33;31;30;26;32"
266,26,"32;34;33;27;26;35;30;29;28;31"
267,26,"28;27;35;34;31;32;29;30;33;26"
268,26,"29;34;26;35;30;27;33;32;31;28"
269,26,"32;29;31;34;33;35;26;28;27;30"
270,26,"28;34;35;26;31;30;27;29;33;32"
271,26,"31;33;29;34;32;30;27;28;26;35"
272,27,"35;36;29;33;31;27;28;32;34;30"
273,27,"28;27;29;32;33;36;34;31;30;35"
274,27,"29;28;32;35;31;27;34;33;36;30"
275,27,"34;36;35;27;33;32;29;31;28;30"
276,27,"29;31;28;34;33;27;36;35;32;30"
277,27,"36;31;34;29;32;28;35;27;30;33"
278,27,"28;32;31;27;33;29;34;36;35;30"
279,27,"29;30;27;36;28;35;32;31;33;34"
280,27,"32;33;34;29;31;36;30;27;35;28"
281,27,"27;36;30;32;34;29;35;31;33;28"
282,28,"29;30;33;32;35;37;31;34;28;36"
283,28,"33;32;28;37;34;36;29;30;31;35"
284,28,"30;33;35;36;28;31;29;32;37;34"
285,28,"35;28;29;37;33;34;31;30;36;32"
286,28,"34;29;32;36;33;28;31;30;37;35"
287,28,"35;30;36;37;31;34;33;32;28;29"
288,28,"36;29;34;33;37;35;30;28;32;31"
289,28,"36;32;35;37;29;30;28;31;33;34"
290,28,"29;33;28;31;37;34;30;35;32;36"
291,28,"35;31;28;34;36;37;30;33;32;29"
292,29,"29;36;35;34;33;30;31;38;32;37"
293,29,"38;35;30;33;36;34;29;32;37;31"
294,29,"34;35;31;38;30;32;37;29;33;36"
295,29,"34;33;37;29;31;30;32;38;36;35"
296,29,"31;38;35;32;33;34;29;37;36;30"
297,29,"33;31;36;34;32;38;37;29;30;35"
298,29,"29;30;36;38;32;31;35;34;33;37"
299,29,"30;36;31;34;35;33;29;37;32;38"
300,29,"30;36;32;37;29;31;33;34;35;38"
301,29,"38;31;37;36;33;34;35;30;32;29"
302,30,"36;32;33;31;35;30;38;37;39;34"
303,30,"33;30;34;38;32;35;36;31;39;37"
304,30,"36;32;34;35;39;30;37;38;33;31"
305,30,"38;30;39;36;33;37;32;31;35;34"
306,30,"36;39;30;31;33;37;35;38;32;34"
307,30,"30;36;31;39;32;35;34;33;38;37"
308,30,"39;38;35;33;31;36;30;37;32;34"
309,30,"33;35;31;37;39;34;36;38;32;30"
310,30,"36;32;30;31;38;37;35;34;39;33"
311,30,"32;33;36;34;31;30;39;37;38;35"
312,31,"35;39;32;38;40;37;31;33;36;34"
313,31,"33;38;31;40;39;36;35;34;32;37"
314,31,"31;33;35;34;37;40;32;36;38;39"
315,31,"35;31;40;39;37;33;32;38;36;34"
316,31,"36;34;35;33;38;31;37;39;40;32"
317,31,"36;31;39;35;40;37;34;33;32;38"
318,31,"36;32;37;34;38;33;31;40;35;39"
319,31,"32;34;39;35;37;36;38;33;40;31"
320,31,"38;40;34;33;37;39;36;31;35;32"
321,31,"40;34;37;33;35;36;38;31;32;39"
322,32,"39;33;41;38;40;32;35;36;34;37"
323,32,"36;38;41;35;32;39;40;33;34;37"
324,32,"33;35;41;32;36;37;39;38;34;40"
325,32,"41;33;38;35;40;36;34;39;32;37"
326,32,"40;36;41;38;37;34;32;33;39;35"
327,32,"34;38;35;32;37;33;39;36;40;41"
328,32,"40;37;39;33;34;38;35;36;32;41"
329,32,"40;41;33;38;37;35;36;34;39;32"
330,32,"32;39;38;36;35;33;40;41;34;37"
331,32,"40;36;34;39;33;37;32;41;35;38"
332,33,"42;39;34;37;41;40;38;36;33;35"
333,33,"33;35;41;40;38;39;34;36;42;37"
334,33,"38;40;33;36;37;41;35;34;42;39"
335,33,"36;42;35;34;40;38;41;33;37;39"
336,33,"39;40;38;41;37;34;33;35;36;42"
337,33,"38;34;39;42;36;35;40;37;33;41"
338,33,"35;40;38;39;34;37;42;41;36;33"
339,33,"37;35;39;38;34;41;40;36;42;33"
340,33,"37;39;33;41;38;42;40;34;35;36"
341,33,"41;40;42;36;37;35;34;33;39;38"
342,34,"40;39;43;36;38;42;35;34;41;37"
343,34,"38;34;35;39;37;41;42;36;40;43"
344,34,"38;41;37;43;39;34;36;35;42;40"
345,34,"39;38;37;41;35;40;36;43;42;34"
346,34,"36;34;37;41;43;42;40;39;38;35"
347,34,"40;39;37;38;43;36;41;34;35;42"
348,34,"35;41;40;34;37;42;43;36;38;39"
349,34,"38;41;39;35;37;43;42;36;40;34"
350,34,"39;38;34;35;37;42;43;40;36;41"
351,34,"34;37;43;42;36;35;38;40;41;39"
352,35,"39;35;36;44;42;41;37;43;40;38"
353,35,"42;35;40;39;37;43;36;41;38;44"
354,35,"35;42;38;37;39;36;44;41;40;43"
355,35,"40;43;37;44;41;38;35;36;39;42"
356,35,"36;35;39;40;38;44;43;41;37;42"
357,35,"35;38;42;44;40;43;37;36;39;41"
358,35,"39;42;43;35;36;40;38;37;41;44"
359,35,"37;40;44;41;35;38;39;43;36;42"
360,35,"37;38;36;41;43;42;35;44;39;40"
361,35,"44;39;43;40;38;37;41;42;35;36"
362,36,"36;38;41;43;40;45;44;42;37;39"
363,36,"40;39;41;36;37;42;43;38;44;45"
364,36,"39;40;43;45;44;36;38;41;37;42"
365,36,"37;43;45;39;36;42;38;44;41;40"
366,36,"43;40;38;37;36;41;45;39;44;42"
367,36,"45;36;41;42;39;44;43;40;38;37"
368,36,"44;39;43;45;37;36;40;41;42;38"
369,36,"45;44;36;42;38;39;40;41;43;37"
370,36,"42;38;40;36;44;43;41;37;45;39"
371,36,"36;44;37;38;43;41;39;42;45;40"
372,37,"46;44;40;38;43;37;41;42;45;39"
373,37,"41;46;42;38;39;43;40;45;37;44"
374,37,"37;42;46;40;44;39;43;38;45;41"
375,37,"39;37;45;40;44;43;46;42;41;38"
376,37,"46;37;41;43;40;45;44;38;42;39"
377,37,"42;44;41;40;37;39;45;43;38;46"
378,37,"44;39;37;41;46;45;42;43;38;40"
379,37,"38;46;37;39;45;43;40;42;44;41"
380,37,"41;44;46;39;43;45;40;38;37;42"
381,37,"44;43;42;45;39;38;37;46;41;40"
382,38,"41;47;45;39;40;42;46;38;44;43"
383,38,"41;40;38;47;45;44;43;42;46;39"
384,38,"39;41;38;40;44;42;43;46;47;45"
385,38,"39;42;38;44;46;41;47;45;43;40"
386,38,"43;41;44;40;38;47;39;46;42;45"
387,38,"45;38;43;47;44;39;42;41;40;46"
388,38,"38;43;45;46;47;41;40;44;39;42"
389,38,"47;42;38;41;46;43;40;39;44;45"
390,38,"44;45;40;43;41;42;38;39;46;47"
391,38,"38;44;42;46;45;41;39;43;47;40"
392,39,"46;40;45;48;43;39;44;41;47;42"
393,39,"47;39;42;44;41;40;48;43;45;46"
394,39,"46;40;42;39;48;41;47;44;43;45"
395,39,"43;48;47;46;45;41;44;40;39;42"
396,39,"45;41;43;48;44;47;46;39;40;42"
397,39,"41;39;43;48;47;40;42;45;44;46"
398,39,"40;46;39;47;48;43;41;45;42;44"
399,39,"39;45;41;46;48;44;43;47;42;40"
400,39,"39;48;45;46;47;41;43;40;44;42"
401,39,"45;44;43;48;40;47;41;39;42;46"
402,40,"49;41;40;47;43;42;44;45;46;48"
403,40,"44;49;43;45;48;46;47;41;42;40"
404,40,"48;40;41;43;49;42;45;44;46;47"
405,40,"44;47;46;48;40;49;41;43;45;42"
406,40,"49;46;44;45;42;40;47;41;43;48"
407,40,"40;49;42;41;47;45;46;44;48;43"
408,40,"44;48;47;42;40;45;49;46;41;43"
409,40,"46;47;49;40;43;44;45;42;41;48"
410,40,"48;42;49;44;41;40;43;45;47;46"
411,40,"40;46;44;41;45;48;42;47;43;49"
412,41,"50;44;45;48;46;49;43;47;41;42"
413,41,"46;45;50;48;43;42;49;41;47;44"
414,41,"45;47;48;49;44;41;50;43;46;42"
415,41,"41;44;48;42;46;45;50;47;49;43"
416,41,"45;50;48;49;43;47;46;44;42;41"
417,41,"44;49;42;43;50;45;41;47;46;48"
418,41,"42;50;48;43;46;41;47;44;45;49"
419,41,"44;42;41;43;48;50;45;49;47;46"
420,41,"45;50;48;46;49;41;43;44;42;47"
421,41,"42;49;41;43;46;45;50;48;47;44"
422,42,"49;43;48;47;51;45;44;46;42;50"
423,42,"45;51;42;49;46;47;48;50;44;43"
424,42,"46;51;50;47;48;49;44;45;43;42"
425,42,"50;43;45;42;44;48;49;47;51;46"
426,42,"48;44;46;50;42;45;47;43;49;51"
427,42,"48;42;46;47;51;49;45;50;43;44"
428,42,"48;49;45;50;46;43;47;44;42;51"
429,42,"42;50;46;44;43;47;51;48;45;49"
430,42,"51;44;47;48;45;50;46;49;43;42"
431,42,"48;49;50;47;44;42;46;43;45;51"
432,43,"44;48;45;49;52;46;47;50;51;43"
433,43,"43;46;50;48;49;45;51;47;44;52"
434,43,"48;51;50;44;43;46;49;52;45;47"
435,43,"49;47;44;48;50;51;46;45;52;43"
436,43,"50;45;51;52;46;43;44;48;49;47"
437,43,"52;48;47;43;45;44;50;49;51;46"
438,43,"45;47;43;52;50;51;44;48;46;49"
439,43,"43;48;47;49;51;52;44;45;50;46"
440,43,"43;46;45;51;47;48;50;52;44;49"
441,43,"51;48;47;45;44;49;52;46;50;43"
442,44,"48;46;52;44;50;51;49;45;53;47"
443,44,"48;53;44;45;50;47;52;49;46;51"
444,44,"44;45;46;53;51;50;47;49;52;48"
445,44,"45;51;48;44;53;49;46;50;47;52"
446,44,"51;45;50;47;44;48;49;53;46;52"
447,44,"48;47;45;49;51;46;52;44;53;50"
448,44,"53;52;51;45;44;47;49;50;46;48"
449,44,"44;48;52;51;49;50;45;53;46;47"
450,44,"48;47;46;44;50;49;45;51;52;53"
451,44,"46;48;47;44;51;45;49;53;52;50"
452,45,"47;52;54;46;51;48;49;45;50;53"
453,45,"46;45;48;51;49;52;53;47;54;50"
454,45,"54;49;48;47;53;46;52;51;45;50"
455,45,"48;47;52;53;45;46;51;49;54;50"
456,45,"49;46;51;52;48;50;54;47;45;53"
457,45,"52;47;46;45;51;50;48;49;53;54"
458,45,"54;45;52;48;53;46;47;50;49;51"
459,45,"49;51;45;46;54;53;52;47;48;50"
460,45,"54;47;53;52;49;46;45;48;51;50"
461,45,"53;46;51;47;49;50;52;45;48;54"
462,46,"54;51;47;46;52;48;50;53;55;49"
463,46,"48;47;55;50;53;52;49;51;54;46"
464,46,"50;46;52;48;49;47;53;51;55;54"
465,46,"55;47;53;49;50;51;46;48;52;54"
466,46,"50;46;54;47;51;55;52;53;49;48"
467,46,"48;50;46;53;52;49;51;47;55;54"
468,46,"50;51;55;54;46;53;52;47;48;49"
469,46,"52;50;46;47;48;51;53;55;54;49"
470,46,"48;52;46;53;47;51;55;49;54;50"
471,46,"49;54;53;48;55;47;46;52;50;51"
472,47,"47;52;54;50;51;53;55;56;48;49"
473,47,"49;50;53;52;54;56;47;51;48;55"
474,47,"54;55;56;51;50;48;53;47;52;49"
475,47,"48;49;56;47;52;53;55;50;54;51"
476,47,"49;56;53;50;51;48;52;54;47;55"
477,47,"47;49;56;53;54;52;55;48;51;50"
478,47,"56;48;53;51;50;47;52;54;49;55"
479,47,"50;48;55;52;53;54;49;47;56;51"
480,47,"52;56;55;48;50;53;54;51;49;47"
481,47,"48;54;56;55;51;53;50;49;52;47"
482,48,"55;51;49;54;57;50;52;48;56;53"
483,48,"49;56;53;50;48;57;54;51;52;55"
484,48,"55;57;54;52;56;49;48;51;53;50"
485,48,"56;52;49;48;53;57;51;55;54;50"
486,48,"57;49;50;55;54;53;48;56;52;51"
487,48,"49;55;54;51;52;56;57;48;53;50"
488,48,"57;55;48;51;50;52;53;54;56;49"
489,48,"57;50;49;52;53;48;55;56;54;51"
490,48,"54;49;48;53;57;55;52;56;50;51"
491,48,"54;55;49;52;50;56;51;57;48;53"
492,49,"49;54;57;50;56;51;52;58;53;55"
493,49,"53;50;57;55;49;54;51;56;58;52"
494,49,"58;56;51;52;54;55;57;50;53;49"
495,49,"56;51;50;49;58;54;52;53;57;55"
496,49,"58;51;50;55;57;49;54;53;52;56"
497,49,"56;54;55;57;58;53;51;50;52;49"
498,49,"57;54;51;58;55;52;49;50;53;56"
499,49,"54;52;49;58;51;50;55;56;57;53"
500,49,"58;57;54;51;49;53;55;50;56;52"
501,49,"50;49;52;58;51;54;56;53;57;55"
